PORCENTAJE DE LOGRO,NEM,PSU LENGUAJE,Extranjero,HC DIURNO,HC NOCTURNO,Municipal,Particular,Subvencionado,TP COMERCIAL,TP INDUSTRIAL,5% Colegios Municipalizados,BEA (BECA EXCELENCIA ACADÉMICA),Bachillerato,DEPORTISTA DESTACADO,EDT,EQUIDAD DE GÉNERO,PAA o PSU,PACE,S/I,SIPEE
0.14583333333333334,663.0,427.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3125,678.0,612.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.3125,635.0,684.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3333333333333333,557.0,729.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.375,643.0,660.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.375,618.0,527.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.4375,702.0,626.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.4375,663.0,650.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.4375,650.0,630.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.4375,645.0,660.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.4375,620.0,527.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4375,595.0,603.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4583333333333333,637.0,694.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.4583333333333333,690.0,549.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4583333333333333,678.0,639.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.4583333333333333,670.0,672.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.4583333333333333,653.0,672.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.4583333333333333,650.0,711.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.4583333333333333,645.0,595.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.4583333333333333,645.0,534.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.4583333333333333,638.0,630.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4791666666666667,663.0,697.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.4791666666666667,658.0,603.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.4791666666666667,655.0,595.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.4791666666666667,648.0,760.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.4791666666666667,638.0,603.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4791666666666667,633.0,586.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4791666666666667,633.0,672.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5,713.0,681.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.5,698.0,607.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.5,690.0,697.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.5,678.0,639.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.5,668.0,639.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.5,663.0,726.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.5,655.0,697.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.5,653.0,563.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.5,653.0,603.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5,648.0,579.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5,645.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.5,645.0,639.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5,645.0,595.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5,635.0,650.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5,620.0,630.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5,613.0,563.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5,610.0,711.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
